title,age_limit,rating,rating_count
장르만 로맨스,15세 관람가,7.43,373
이터널스,12세 관람가,5.60,"11,588"
프렌치 디스패치,15세 관람가,8.21,14
너에게 가는 길,12세 관람가,9.43,46
디어 에반 핸슨,12세 관람가,7.25,194
듄,12세 관람가,7.94,"7,704"
강릉,청소년 관람불가,6.49,"1,985"
몽상가들,청소년 관람불가,8.11,"1,236"
"러브 어페어 : 우리가 말하는 것, 우리가 하는 것",15세 관람가,7.95,21
휴가,12세 관람가,8.98,58
고양이를 부탁해,12세 관람가,8.80,746
호빗 : 뜻밖의 여정,12세 관람가,8.42,"8,802"
아담스 패밀리 2,전체 관람가,6.72,130
귀멸의 칼날: 나타구모산 편 ,15세 관람가,8.33,33
행복의 속도,전체 관람가,10.00,1
아녜스가 말하는 바르다,12세 관람가,8.69,52
당신얼굴 앞에서,15세 관람가,7.77,65
1984 최동원,전체 관람가,8.85,124
귀멸의 칼날: 남매의 연,15세 관람가,6.65,206
타오르는 여인의 초상,15세 관람가,9.06,"1,812"
파이란,15세 관람가,9.08,"3,605"
고장난 론,전체 관람가,8.97,892
바람아 안개를 걷어가다오,12세 관람가,8.11,18
송해 1927,12세 관람가,9.94,17
빌리 홀리데이,청소년 관람불가,7.63,131
아네트,15세 관람가,7.29,487
뱅드림! 필름 라이브 세컨드 스테이지,전체 관람가,0.00,0
사상,12세 관람가,7.67,3
왕십리 김종분,12세 관람가,9.57,21
퍼스트 카우,12세 관람가,8.18,127
노회찬6411,12세 관람가,6.12,732
라 당스,전체 관람가,7.39,28
코다,12세 관람가,9.25,652
십개월의 미래,12세 관람가,8.37,109
쁘띠 마망,전체 관람가,8.63,153
나를 잡아줘,12세 관람가,7.60,15
"틱, 틱... 붐!",12세 관람가,8.43,74
싸반,15세 관람가,7.27,15
꽃다발 같은 사랑을 했다,12세 관람가,9.01,503
아멜리에,15세 관람가,8.82,"1,709"
아워 미드나잇,12세 관람가,7.96,23
피닉스,12세 관람가,8.61,102
너의 이름은.,12세 관람가,8.80,"32,945"
마담 프루스트의 비밀정원,전체 관람가,8.92,"2,702"
날씨의 아이,15세 관람가,7.96,"6,162"
당신은 믿지 않겠지만,12세 관람가,6.85,94
괴짜들의 로맨스,12세 관람가,7.31,13
베놈 2: 렛 데어 비 카니지,15세 관람가,6.15,"3,998"
후겟츠 웨슬리,12세 관람가,0.00,0
바다 탐험대 옥토넛 : 육지수호 대작전,전체 관람가,6.84,32
어 굿 맨,15세 관람가,0.00,0
악인은 너무 많다 2: 제주 실종사건의 전말,청소년 관람불가,6.29,31
고양이에게 밥을 주지 마세요,전체 관람가,4.55,966
애프터: 관계의 함정,15세 관람가,7.42,106
그림자꽃,12세 관람가,6.86,63
귀토-토끼의 팔란,전체 관람가,9.75,4
"나의 끝, 당신의 시작",15세 관람가,4.00,1
뉴 오더,청소년 관람불가,8.11,35
보이스,15세 관람가,8.45,"2,863"
라스트 듀얼: 최후의 결투,청소년 관람불가,9.04,858
뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,전체 관람가,9.29,35
뱅드림! 로젤리아 에피소드Ⅰ: 약속,전체 관람가,8.17,77
뱅드림! 필름 라이브,전체 관람가,8.05,76
다가오는 것들,15세 관람가,8.35,736
메가 릴렉스 비행,전체 관람가,9.50,2
세버그,15세 관람가,8.29,159
죽이러 간다,15세 관람가,8.44,25
가치 캅시다,15세 관람가,8.98,48
동백,12세 관람가,7.46,109
보는 것을 사랑한다,전체 관람가,9.62,8
시동,15세 관람가,7.58,"10,687"
악인전,청소년 관람불가,7.87,"11,998"
퍼스널 쇼퍼,15세 관람가,6.90,353
한창나이 선녀님,전체 관람가,9.52,40
가족의 색깔,전체 관람가,7.62,13
극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,전체 관람가,9.22,471
라스트 레터,전체 관람가,7.89,242
렛 더 선샤인 인,15세 관람가,7.37,71
부산행,15세 관람가,8.00,"59,249"
세 친구,15세 관람가,8.71,65
소년 아메드,12세 관람가,8.10,68
시그널 X: 영혼의 구역,15세 관람가,6.73,11
신과함께-인과 연,12세 관람가,7.71,"40,294"
영 앤 뷰티풀,청소년 관람불가,7.15,166
울림의 탄생,전체 관람가,8.93,14
첫눈이 사라졌다,15세 관람가,6.79,48
크림,15세 관람가,7.20,15
007 노 타임 투 다이,12세 관람가,6.80,"4,113"
"극장판 포켓몬스터: 정글의 아이, 코코",전체 관람가,8.94,186
기적,12세 관람가,9.19,"4,220"
남색대문,12세 관람가,8.14,70
내겐 너무 소중한 너,12세 관람가,9.12,367
너의 췌장을 먹고 싶어,12세 관람가,8.11,"4,925"
너의 췌장을 먹고 싶어,12세 관람가,8.40,"1,081"
레 미제라블,15세 관람가,7.47,76
미라클 벨리에,12세 관람가,8.87,982
바바라,15세 관람가,8.23,53
박강아름 결혼하다,전체 관람가,9.56,45
베로니카의 이중 생활,청소년 관람불가,8.20,147
비거 스플래쉬,청소년 관람불가,7.24,217
세 가지 색 : 레드,15세 관람가,8.30,94
세 가지 색 : 화이트,청소년 관람불가,7.58,71
아-하: 테이크 온 미,12세 관람가,8.73,45
애비규환,12세 관람가,6.90,459
윤희에게,12세 관람가,8.97,"2,598"
자산어보,12세 관람가,9.33,"2,946"
정말 먼 곳,12세 관람가,7.98,125
종착역,전체 관람가,7.53,45
최선의 삶,15세 관람가,8.29,162
